player_key,player_id,player_name,coverage,period,stat_id,stat_value,team_key,team_name,position,timestamp
466.p.4152,4152,Kyle Lowry,season,2025,8,-,,,,
466.p.4152,4152,Kyle Lowry,season,2025,9,4,,,,
466.p.4152,4152,Kyle Lowry,season,2025,10,2,,,,
466.p.4152,4152,Kyle Lowry,season,2025,11,.500,,,,
466.p.4152,4152,Kyle Lowry,season,2025,12,6,,,,
466.p.4152,4152,Kyle Lowry,season,2025,13,0,,,,
466.p.4152,4152,Kyle Lowry,season,2025,14,1,,,,
466.p.4152,4152,Kyle Lowry,season,2025,15,1,,,,
466.p.4152,4152,Kyle Lowry,season,2025,16,4,,,,
466.p.4152,4152,Kyle Lowry,season,2025,17,1,,,,
466.p.4152,4152,Kyle Lowry,season,2025,18,0,,,,
466.p.4152,4152,Kyle Lowry,season,2025,19,0,,,,
466.p.4152,4152,Kyle Lowry,season,2025,20,-,,,,
466.p.4152,4152,Kyle Lowry,season,2025,21,1,,,,
466.p.4152,4152,Kyle Lowry,season,2025,22,0,,,,
466.p.4152,4152,Kyle Lowry,season,2025,23,0,,,,
466.p.4152,4152,Kyle Lowry,season,2025,24,0,,,,
466.p.4152,4152,Kyle Lowry,season,2025,25,0,,,,
466.p.4152,4152,Kyle Lowry,season,2025,27,0,,,,
466.p.4152,4152,Kyle Lowry,season,2025,28,0,,,,
466.p.4163,4163,P.J. Tucker,season,2025,0,-,,,,
466.p.4163,4163,P.J. Tucker,season,2025,1,-,,,,
466.p.4163,4163,P.J. Tucker,season,2025,2,-,,,,
466.p.4163,4163,P.J. Tucker,season,2025,3,-,,,,
466.p.4163,4163,P.J. Tucker,season,2025,4,-,,,,
466.p.4163,4163,P.J. Tucker,season,2025,5,-,,,,
466.p.4163,4163,P.J. Tucker,season,2025,6,-,,,,
466.p.4163,4163,P.J. Tucker,season,2025,7,-,,,,
466.p.4163,4163,P.J. Tucker,season,2025,8,-,,,,
466.p.4163,4163,P.J. Tucker,season,2025,9,-,,,,
466.p.4163,4163,P.J. Tucker,season,2025,10,-,,,,
466.p.4163,4163,P.J. Tucker,season,2025,11,-,,,,
466.p.4163,4163,P.J. Tucker,season,2025,12,-,,,,
466.p.4163,4163,P.J. Tucker,season,2025,13,-,,,,
466.p.4163,4163,P.J. Tucker,season,2025,14,-,,,,
466.p.4163,4163,P.J. Tucker,season,2025,15,-,,,,
466.p.4163,4163,P.J. Tucker,season,2025,16,-,,,,
466.p.4163,4163,P.J. Tucker,season,2025,17,-,,,,
